"UniqueID","TI"
1,NA
2,1
3,1.5
4,2
5,2.33333333333333
6,2.5
7,2.66666666666667
8,2.77777777777778
9,2.83333333333333
10,3
11,3.25
12,3.375
13,3.5
14,3.58333333333333
15,3.625
16,3.66666666666667
17,3.69444444444444
18,3.70833333333333
19,4
20,4.2
21,4.3
22,4.4
23,4.46666666666667
24,4.5
25,4.74166666666667
26,5
27,5.16666666666667
28,5.25
29,5.33333333333333
30,5.38888888888889
31,5.41666666666667
32,5.44444444444444
33,5.46296296296296
34,5.77916666666667
35,5.78611111111111
36,5.78888888888889
37,5.79027777777778
38,NA
39,4
40,4.65
 
Note: 
Subject with single or more than one record of grade which is/are all missing:  1 38 
Subject with both missing and non-missing records of grade (TI was calculated based on available non-missing grade values.):  39 40 
